label,tei:l count,verse
scene 0-1,1,1
scene 1-1,105,104
scene 1-2,185,164
scene 1-3,283,258
scene 1-4,320,288
scene 1-5,327,294
scene 1-6,452,412
dial.,472,429
scene 2-1,622,574
scene 2-2,666,617
scene 2-3,736,678
scene 2-4,777,714
scene 2-5,810,741
scene 2-6,870,798
scene 2-7,882,808
scene 2-8,935,856
dial.,954,875
scene 3-1,1041,961
scene 3-2,1135,1045
scene 3-3,1169,1072
scene 3-4,1214,1111
scene 3-5,1262,1148
scene 3-6,1296,1179
scene 3-7,1426,1303
scene 3-8,1457,1330
scene 4-1,1476,1348
scene 4-2,1519,1388
scene 4-3,1569,1430
scene 4-4,1587,1446
scene 4-5,1706,1549
scene 4-6,1777,1609
dial.,1822,1641
scene 4-7,1884,1701
scene 5-1,1935,1745
scene 5-2,1962,1769
scene 5-3,1990,1793
scene 5-4,2005,1803
scene 5-5,2085,1871
scene 5-6,2127,1910
scene 5-7,2187,1969
